id,program_type,day_number,day_type,phase,block_count,set_rest_seconds,block_1_params,block_2_params,block_3_params,block_4_params,total_duration_minutes,base_intensity_percent,created_at,updated_at,month,avg_work_rest_ratio
060afadd-8145-4148-8680-e8d34fc2e2b9,main_5day,1,time_trial,1,1,,"{""rounds"":1,""paceRange"":""max_effort"",""restDuration"":0,""workDuration"":600,""total_intervals"":1,""workProgression"":""single"",""work_to_rest_ratio"":999,""avg_work_to_rest_ratio"":999}",,,,10,0,2025-10-04 06:24:40.905038+00,2025-10-04 06:24:40.905038+00,1,999
ef1adb26-ea60-4e48-8e56-f736797dae26,main_5day,2,anaerobic,1,1,,"{""rounds"":6,""paceRange"":""max_effort"",""restDuration"":150,""workDuration"":30,""total_intervals"":6,""workProgression"":""consistent"",""work_to_rest_ratio"":0.2,""avg_work_to_rest_ratio"":0.2}",,,,24,0,2025-10-04 06:24:40.905038+00,2025-10-04 06:24:40.905038+00,1,0.2
09f175b5-9d52-48c9-9aa5-5bc2ca195ea9,main_5day,3,endurance,1,1,,"{""rounds"":1,""paceRange"":[0.7,0.7],""restDuration"":0,""workDuration"":1260,""total_intervals"":1,""workProgression"":""single"",""work_to_rest_ratio"":999,""avg_work_to_rest_ratio"":999}",,,,25,70,2025-10-04 06:24:40.905038+00,2025-10-04 06:24:40.905038+00,1,999
42a6d0c2-883a-420a-8d32-9d66abf3294f,main_5day,4,max_aerobic_power,1,1,,"{""rounds"":4,""paceRange"":[0.85,1.05],""restDuration"":240,""workDuration"":240,""total_intervals"":4,""workProgression"":""consistent"",""work_to_rest_ratio"":1,""avg_work_to_rest_ratio"":1}",,,,24,95,2025-10-04 06:24:40.905038+00,2025-10-04 06:24:40.905038+00,1,1
a80d5af9-a93c-48e9-a872-7729f5135740,main_5day,5,interval,1,1,,"{""rounds"":6,""paceRange"":[0.8,1.1],""restDuration"":60,""workDuration"":120,""total_intervals"":6,""workProgression"":""consistent"",""work_to_rest_ratio"":2,""avg_work_to_rest_ratio"":2}",,,,28,95,2025-10-04 06:24:40.905038+00,2025-10-04 06:24:40.905038+00,1,2
444942ff-f200-4d35-b2bc-0f600be06097,main_5day,6,anaerobic,1,1,,"{""rounds"":8,""paceRange"":""max_effort"",""restDuration"":100,""workDuration"":20,""total_intervals"":8,""workProgression"":""consistent"",""work_to_rest_ratio"":0.2,""avg_work_to_rest_ratio"":0.2}",,,,24,0,2025-10-04 06:24:40.905038+00,2025-10-04 06:24:40.905038+00,1,0.2
7de10dd1-ac99-4337-8ad3-247e70b0151b,main_5day,7,endurance,1,1,,"{""rounds"":1,""paceRange"":[0.7,0.7],""restDuration"":0,""workDuration"":1440,""total_intervals"":1,""workProgression"":""single"",""work_to_rest_ratio"":999,""avg_work_to_rest_ratio"":999}",,,,25,70,2025-10-04 06:24:40.905038+00,2025-10-04 06:24:40.905038+00,1,999
675333c3-b811-4f97-8157-2c2ec49b72bf,main_5day,8,max_aerobic_power,1,1,,"{""rounds"":8,""paceRange"":[0.85,1.05],""restDuration"":90,""workDuration"":90,""total_intervals"":8,""workProgression"":""consistent"",""work_to_rest_ratio"":1,""avg_work_to_rest_ratio"":1}",,,,24,95,2025-10-04 06:24:40.905038+00,2025-10-04 06:24:40.905038+00,1,1
bdc86da4-46b8-4525-8c86-11d3837fcff7,main_5day,9,interval,1,1,,"{""rounds"":4,""paceRange"":[0.8,1.1],""restDuration"":120,""workDuration"":180,""total_intervals"":4,""workProgression"":""consistent"",""work_to_rest_ratio"":1.5,""avg_work_to_rest_ratio"":1.5}",,,,28,95,2025-10-04 06:24:40.905038+00,2025-10-04 06:24:40.905038+00,1,1.5
03b2a08e-a9c2-4788-9ec9-3aa0a7321dbd,main_5day,10,threshold,1,1,,"{""rounds"":1,""paceRange"":[0.85,0.95],""restDuration"":0,""workDuration"":720,""total_intervals"":1,""workProgression"":""single"",""work_to_rest_ratio"":999,""avg_work_to_rest_ratio"":999}",,,,15,90,2025-10-04 06:24:40.905038+00,2025-10-04 06:24:40.905038+00,1,999
c3ab7f19-7064-4812-b83f-5728c76d8145,main_5day,11,endurance,1,1,,"{""rounds"":1,""paceRange"":[0.7,0.7],""restDuration"":0,""workDuration"":1620,""total_intervals"":1,""workProgression"":""single"",""work_to_rest_ratio"":999,""avg_work_to_rest_ratio"":999}",,,,25,70,2025-10-04 06:24:40.905038+00,2025-10-04 06:24:40.905038+00,1,999
1e26bc90-b3c4-4828-b13b-eecb3a04aad8,main_5day,12,max_aerobic_power,1,1,,"{""rounds"":5,""paceRange"":[0.85,1.05],""restDuration"":180,""workDuration"":180,""total_intervals"":5,""workProgression"":""consistent"",""work_to_rest_ratio"":1,""avg_work_to_rest_ratio"":1}",,,,24,95,2025-10-04 06:24:40.905038+00,2025-10-04 06:24:40.905038+00,1,1
104c844f-1a91-48e7-9220-880454a32644,main_5day,13,interval,1,1,,"{""rounds"":6,""paceRange"":[0.8,1.1],""restDuration"":120,""workDuration"":60,""total_intervals"":6,""workProgression"":""consistent"",""work_to_rest_ratio"":0.5,""avg_work_to_rest_ratio"":0.5}",,,,28,95,2025-10-04 06:24:40.905038+00,2025-10-04 06:24:40.905038+00,1,0.5
867fc7a1-d92a-48bb-9ec0-32e3b0a4d271,main_5day,14,threshold,1,1,,"{""rounds"":1,""paceRange"":[0.85,0.95],""restDuration"":0,""workDuration"":900,""total_intervals"":1,""workProgression"":""single"",""work_to_rest_ratio"":999,""avg_work_to_rest_ratio"":999}",,,,15,90,2025-10-04 06:24:40.905038+00,2025-10-04 06:24:40.905038+00,1,999
b5b70835-037c-4f56-80cd-24cfffd1afc0,main_5day,15,anaerobic,1,1,,"{""rounds"":6,""paceRange"":""max_effort"",""restDuration"":150,""workDuration"":30,""total_intervals"":6,""workProgression"":""consistent"",""work_to_rest_ratio"":0.2,""avg_work_to_rest_ratio"":0.2}",,,,24,0,2025-10-04 06:24:40.905038+00,2025-10-04 06:24:40.905038+00,1,0.2
