Month,Week,Day,Session,Cat. Day,Type,Duration (min),Intensity %,Blocks,Block 1,Block 2,Block 3,Block 4
1,1,1,time_trial,1,time_trial,10,0,1,1x600s @max_effort,,,
1,1,2,steady,62,polarized,35,70,1,1x1440s [continuous_with_bursts] [burst:every_5_minutes/7s],,,
1,1,3,intensity,482,towers,36,75,3,3x120s @0.75-0.9 [continuous] [pace:increasing],1x300s @0.75-0.9,6x60s/60s @0.8-1.05 [pace:increasing] w:r=1,
1,1,4,steady,302,flux_stages,30,70,1,1x1440s [progressive_flux_intensity] [flux:60s@0.75],,,
1,1,5,intensity,662,synthesis,42,80,4,6x10s/50s @max_effort w:r=0.2,1x240s @0.75-0.9,4x10s/50s @max_effort w:r=0.2,1x360s @0.75-0.9
1,2,1,steady,65,polarized,35,70,1,1x2160s [continuous_with_bursts] [burst:every_7_minutes/7s],,,
1,2,2,intensity,485,towers,37,75,3,4x90s @0.75-0.9 [continuous] [pace:increasing],1x600s @0.75-0.9,4x120s/60s @0.8-1.05 [pace:increasing] w:r=2,
1,2,3,steady,182,flux,28,70,1,1x1440s [alternating_paces] [flux:60s@0.7],,,
1,2,4,intensity,665,synthesis,43,80,4,6x10s/50s @max_effort w:r=0.2,1x240s @0.76-0.91,4x10s/50s @max_effort w:r=0.2,1x480s @0.76-0.91
1,2,5,steady,67,polarized,35,70,1,1x1800s [continuous_with_bursts] [burst:every_5_minutes/7s],,,
1,3,1,intensity,486,towers,38,75,3,4x120s @0.75-0.9 [continuous] [pace:increasing],1x360s @0.75-0.9,8x30s/30s @0.8-1.05 [pace:increasing] w:r=1,
1,3,2,steady,70,polarized,35,70,1,1x1980s [continuous_with_bursts] [burst:every_7_minutes/7s],,,
1,3,3,intensity,489,towers,39,75,3,5x60s @0.75-0.9 [continuous] [pace:increasing],1x540s @0.75-0.9,6x90s/30s @0.8-1.05 [pace:increasing] w:r=3,
1,3,4,steady,305,flux_stages,30,70,1,1x1620s [progressive_flux_intensity] [flux:60s@0.75],,,
1,3,5,intensity,666,synthesis,44,80,4,6x10s/50s @max_effort w:r=0.2,1x240s @0.77-0.92,4x10s/50s @max_effort w:r=0.2,1x360s @0.77-0.92
1,4,1,steady,71,polarized,35,70,1,1x1620s [continuous_with_bursts] [burst:every_5_minutes/7s],,,
1,4,2,intensity,482,towers,36,75,3,3x120s @0.75-0.9 [continuous] [pace:increasing],1x300s @0.75-0.9,6x60s/60s @0.8-1.05 [pace:increasing] w:r=1,
1,4,3,steady,185,flux,28,70,1,1x1620s [alternating_paces] [flux:60s@0.75],,,
1,4,4,intensity,669,synthesis,45,80,4,6x10s/50s @max_effort w:r=0.2,1x240s @0.78-0.93,4x10s/50s @max_effort w:r=0.2,1x480s @0.78-0.93
1,4,5,steady,74,polarized,35,70,1,1x2340s [continuous_with_bursts] [burst:every_7_minutes/7s],,,
2,1,1,time_trial,21,time_trial,10,0,1,1x600s @max_effort,,,
2,1,2,steady,77,polarized,35,70,1,1x1800s [continuous_with_bursts] [burst:every_5_minutes/7s],,,
2,1,3,intensity,495,towers,40,75,3,4x90s @0.75-0.9 [continuous] [pace:increasing],1x480s @0.77-0.92,4x120s/60s @0.82-1.07 [pace:increasing] w:r=2,
2,1,4,steady,307,flux_stages,30,70,1,1x1800s [progressive_flux_intensity] [flux:60s@0.75],,,
2,1,5,intensity,542,afterburner,36,80,3,4x15s/45s @max_effort w:r=0.33,1x240s @0.75-0.85,4x90s/90s @0.8-0.95 [pace:increasing] w:r=1,
2,2,1,steady,80,polarized,35,70,1,1x1980s [continuous_with_bursts] [burst:every_7_minutes/7s],,,
2,2,2,intensity,482,towers,36,75,3,3x120s @0.75-0.9 [continuous] [pace:increasing],1x300s @0.75-0.9,6x60s/60s @0.8-1.05 [pace:increasing] w:r=1,
2,2,3,steady,187,flux,28,70,1,1x1800s [alternating_paces] [flux:60s@0.75],,,
2,2,4,intensity,545,afterburner,37,80,3,3x30s/90s @max_effort w:r=0.33,1x540s @0.76-0.86,6x60s/30s @0.81-0.96 [pace:increasing] w:r=2,
2,2,5,steady,82,polarized,42,70,1,1x1800s [continuous_with_bursts] [burst:every_7_minutes/7s],,,
2,3,1,intensity,485,towers,37,75,3,4x90s @0.75-0.9 [continuous] [pace:increasing],1x600s @0.75-0.9,4x120s/60s @0.8-1.05 [pace:increasing] w:r=2,
2,3,2,steady,85,polarized,42,70,1,1x2520s [continuous_with_bursts] [burst:every_7_minutes/7s],,,
2,3,3,intensity,486,towers,38,75,3,4x120s @0.75-0.9 [continuous] [pace:increasing],1x360s @0.75-0.9,8x30s/30s @0.8-1.05 [pace:increasing] w:r=1,
2,3,4,steady,310,flux_stages,30,70,1,1x1980s [progressive_flux_intensity] [flux:60s@0.75],,,
2,3,5,intensity,546,afterburner,38,80,3,4x15s/45s @max_effort w:r=0.33,1x300s @0.77-0.87,8x30s/30s @0.82-0.97 [pace:increasing] w:r=1,
2,4,1,steady,87,polarized,42,70,1,1x2160s [continuous_with_bursts] [burst:every_5_minutes/7s],,,
