Month,Week,Day,Session,Cat. Day,Type,Duration (min),Intensity %,Blocks,Block 1,Block 2,Block 3,Block 4
1,1,1,time_trial,1,time_trial,10,0,1,1x600s @max_effort,,,
1,1,2,intensity,362,devour,32,85,1,6x60s/60s @0.9-0.9 [increasing] w:r=1 +60s/rd,,,
1,1,3,intensity,4,max_aerobic_power,24,95,1,4x240s/240s @0.85-1.05 w:r=1,,,
1,2,1,steady,422,infinity,42,85,3,4x60s/60s @0.85-1 [increasing] [pace:increasing] w:r=1 +60s/rd,2x120s/120s @0.85-0.9 w:r=1 rest-60s/rd,1x240s @1.2-1.2,
1,2,2,intensity,365,devour,34,85,1,4x120s/120s @0.85-0.85 [increasing] w:r=1 +120s/rd,,,
1,2,3,intensity,8,max_aerobic_power,24,95,1,8x90s/90s @0.85-1.05 w:r=1,,,
1,3,1,steady,62,polarized,35,70,1,1x1440s [continuous_with_bursts] [burst:every_5_minutes/7s],,,
1,3,2,intensity,366,devour,36,85,1,8x30s/30s @0.85-0.85 [increasing] w:r=1 +30s/rd,,,
1,3,3,intensity,362,devour,32,85,1,6x60s/60s @0.9-0.9 [increasing] w:r=1 +60s/rd,,,
1,4,1,steady,425,infinity,44,85,3,6x30s/30s @0.85-1.1 [increasing] [pace:increasing] w:r=1 +30s/rd,3x90s/90s @0.85-0.95 w:r=1 rest-30s/rd,1x300s @1.2-1.2,
1,4,2,intensity,12,max_aerobic_power,24,95,1,5x180s/180s @0.85-1.05 w:r=1,,,
1,4,3,intensity,365,devour,34,85,1,4x120s/120s @0.85-0.85 [increasing] w:r=1 +120s/rd,,,
2,1,1,time_trial,21,time_trial,10,0,1,1x600s @max_effort,,,
2,1,2,intensity,365,devour,34,85,1,4x120s/120s @0.85-0.85 [increasing] w:r=1 +120s/rd,,,
2,1,3,intensity,5,interval,28,95,1,6x120s/60s @0.8-1.1 w:r=2,,,
2,2,1,steady,426,infinity,45,85,3,4x120s/60s @0.85-1 [increasing] [pace:increasing] w:r=2 +60s/rd,4x120s/120s @0.85-1 w:r=1 rest-30s/rd,1x180s @1.2-1.2,
2,2,2,intensity,366,devour,36,85,1,8x30s/30s @0.85-0.85 [increasing] w:r=1 +30s/rd,,,
2,2,3,intensity,9,interval,28,95,1,4x180s/120s @0.8-1.1 w:r=1.5,,,
2,3,1,steady,65,polarized,35,70,1,1x2160s [continuous_with_bursts] [burst:every_7_minutes/7s],,,
2,3,2,intensity,369,devour,38,85,1,5x90s/90s @0.9-0.9 [increasing] w:r=1 +60s/rd,,,
2,3,3,intensity,362,devour,32,85,1,6x60s/60s @0.9-0.9 [increasing] w:r=1 +60s/rd,,,
2,4,1,steady,429,infinity,45,85,3,4x30s/30s @0.85-1 [increasing] [pace:increasing] w:r=1 +60s/rd,3x180s/180s @0.85-0.95 w:r=1 rest-60s/rd,1x240s @1.2-1.2,
2,4,2,intensity,13,interval,28,95,1,6x60s/120s @0.8-1.1 w:r=0.5,,,
2,4,3,intensity,365,devour,34,85,1,4x120s/120s @0.85-0.85 [increasing] w:r=1 +120s/rd,,,
3,1,1,time_trial,41,time_trial,10,0,1,1x600s @max_effort,,,
3,1,2,intensity,16,max_aerobic_power,24,95,1,18x30s/30s @0.85-1.05 w:r=1,,,
3,1,3,intensity,362,devour,32,85,1,6x60s/60s @0.9-0.9 [increasing] w:r=1 +60s/rd,,,
3,2,1,steady,432,infinity,45,85,3,3x120s/120s @0.85-0.95 [increasing] [pace:increasing] w:r=1 +120s/rd,6x90s/90s @0.85-1.1 w:r=1 rest-15s/rd,1x300s @1.2-1.2,
3,2,2,intensity,24,max_aerobic_power,24,95,1,4x240s/240s @0.85-1.05 w:r=1,,,
3,2,3,intensity,17,interval,28,95,1,5x180s/60s @0.8-1.1 w:r=3,,,
3,3,1,steady,67,polarized,35,70,1,1x1800s [continuous_with_bursts] [burst:every_5_minutes/7s],,,
3,3,2,intensity,28,max_aerobic_power,24,95,1,10x90s/90s @0.85-1.05 w:r=1,,,
3,3,3,intensity,32,max_aerobic_power,24,95,1,3x300s/300s @0.85-1.05 w:r=1,,,
3,4,1,steady,435,infinity,45,85,3,3x60s/60s @0.85-0.95 [increasing] [pace:increasing] w:r=1 +120s/rd,4x180s/120s @0.85-1 w:r=1.5 rest-30s/rd,1x240s @1.2-1.2,
3,4,2,intensity,365,devour,34,85,1,4x120s/120s @0.85-0.85 [increasing] w:r=1 +120s/rd,,,
3,4,3,intensity,36,max_aerobic_power,24,95,1,21x30s/30s @0.85-1.05 w:r=1,,,
4,1,1,time_trial,61,time_trial,10,0,1,1x600s @max_effort,,,
4,1,2,intensity,44,max_aerobic_power,24,95,1,4x240s/240s @0.85-1.05 w:r=1,,,
4,1,3,intensity,25,interval,28,95,1,8x120s/60s @0.8-1.1 w:r=2,,,
4,2,1,steady,436,infinity,45,85,3,4x60s/60s @0.85-1 [increasing] [pace:increasing] w:r=1 +60s/rd,2x120s/120s @0.85-1.15 w:r=1 rest-60s/rd,1x180s @1.2-1.2,
4,2,2,intensity,48,max_aerobic_power,24,95,1,12x90s/90s @0.85-1.05 w:r=1,,,
4,2,3,intensity,385,ascending_devour,30,90,1,5x60s/60s @0.8-1 [increasing] [pace:increasing] w:r=1 +60s/rd,,,
4,3,1,steady,70,polarized,35,70,1,1x1980s [continuous_with_bursts] [burst:every_7_minutes/7s],,,
4,3,2,intensity,52,max_aerobic_power,24,95,1,3x360s/360s @0.85-1.05 w:r=1,,,
4,3,3,intensity,56,max_aerobic_power,24,95,1,24x30s/30s @0.85-1.05 w:r=1,,,
4,4,1,steady,439,infinity,45,85,3,60x30s/30s @0.85-1.1 [increasing] [pace:increasing] w:r=1 +30s/rd rest10s/rd,3x90s/90s @0.85-1.15 w:r=1 rest-30s/rd,1x239s @1.2-1.2,
4,4,2,intensity,29,interval,28,95,1,5x180s/120s @0.8-1.1 w:r=1.5,,,
4,4,3,intensity,423,max_aerobic_power,30,85,1,4x240s/240s @0.85-1.05 w:r=1,,,
