day|type|month|dur|int%|structure
1|time_trial|1|10|0|1x600/-
2|anaerobic|1|24|0|6x30/150
3|endurance|1|25|70|1x1260/-
4|max_aerobic_power|1|24|95|4x240/240
5|interval|1|28|95|6x120/60
6|anaerobic|1|24|0|8x20/100
7|endurance|1|25|70|1x1440/-
8|max_aerobic_power|1|24|95|8x90/90
9|interval|1|28|95|4x180/120
10|threshold|1|15|90|1x720/-
11|endurance|1|25|70|1x1620/-
12|max_aerobic_power|1|24|95|5x180/180
13|interval|1|28|95|6x60/120
14|threshold|1|15|90|1x900/-
15|anaerobic|1|24|0|6x30/150
16|max_aerobic_power|1|24|95|18x30/30
17|interval|1|28|95|5x180/60
18|threshold|1|15|90|1x1080/-
19|anaerobic|1|24|0|4x45/225
20|endurance|1|25|70|1x1800/-
21|time_trial|2|10|0|1x600/-
22|anaerobic|2|24|0|8x30/150
23|endurance|2|25|70|1x1440/-
24|max_aerobic_power|2|24|95|4x240/240
25|interval|2|28|95|8x120/60
26|anaerobic|2|24|0|10x20/100
27|endurance|2|25|70|1x1620/-
28|max_aerobic_power|2|24|95|10x90/90
29|interval|2|28|95|5x180/120
30|threshold|2|15|90|1x720/-
31|endurance|2|25|70|1x1800/-
32|max_aerobic_power|2|24|95|3x300/300
33|interval|2|28|95|8x60/120
34|threshold|2|15|90|1x900/-
35|anaerobic|2|24|0|8x30/150
36|max_aerobic_power|2|24|95|21x30/30
37|interval|2|28|95|6x180/60
38|threshold|2|15|90|1x1080/-
39|anaerobic|2|24|0|6x45/225
40|endurance|2|25|70|1x1980/-
41|time_trial|3|10|0|1x600/-
42|anaerobic|3|24|0|8x30/150
43|endurance|3|25|70|1x1620/-
44|max_aerobic_power|3|24|95|4x240/240
45|interval|3|28|95|10x120/60
46|anaerobic|3|24|0|10x20/100
47|endurance|3|25|70|1x1800/-
48|max_aerobic_power|3|24|95|12x90/90
49|interval|3|28|95|6x180/120
50|threshold|3|15|90|1x720/-
51|endurance|3|25|70|1x1980/-
52|max_aerobic_power|3|24|95|3x360/360
53|interval|3|28|95|10x60/120
54|threshold|3|15|90|1x900/-
55|anaerobic|3|24|0|8x30/150
56|max_aerobic_power|3|24|95|24x30/30
57|interval|3|28|95|8x180/60
58|threshold|3|15|90|1x1080/-
59|anaerobic|3|24|0|6x45/225
60|endurance|3|25|70|1x2160/-
61|time_trial|4|10|0|1x600/-
62|polarized|4|35|70|1x1440/-
63|anaerobic|4|24|0|6x30/150
64|interval|4|28|95|6x120/60
65|polarized|4|35|70|1x2160/-
66|anaerobic|4|24|0|8x20/100
67|polarized|4|35|70|1x1800/-
68|endurance|4|30|70|1x1800/-
69|interval|4|28|95|4x180/120
70|polarized|4|35|70|1x1980/-
71|polarized|4|35|70|1x1620/-
72|anaerobic|4|24|0|6x30/150
73|endurance|4|30|70|1x1980/-
74|polarized|4|35|70|1x2340/-
75|interval|4|28|95|6x60/120
