day,type,month,duration_min,intensity_pct,block_count,block1,block2,block3,block4
1,time_trial,1,10,0,1,"1x600s @max_effort","","",""
2,anaerobic,1,24,0,1,"6x30s/150s @max_effort w:r=0.2","","",""
3,endurance,1,25,70,1,"1x1260s @0.7-0.7","","",""
4,max_aerobic_power,1,24,95,1,"4x240s/240s @0.85-1.05 w:r=1","","",""
5,interval,1,28,95,1,"6x120s/60s @0.8-1.1 w:r=2","","",""
6,anaerobic,1,24,0,1,"8x20s/100s @max_effort w:r=0.2","","",""
7,endurance,1,25,70,1,"1x1440s @0.7-0.7","","",""
8,max_aerobic_power,1,24,95,1,"8x90s/90s @0.85-1.05 w:r=1","","",""
9,interval,1,28,95,1,"4x180s/120s @0.8-1.1 w:r=1.5","","",""
10,threshold,1,15,90,1,"1x720s @0.85-0.95","","",""
11,endurance,1,25,70,1,"1x1620s @0.7-0.7","","",""
12,max_aerobic_power,1,24,95,1,"5x180s/180s @0.85-1.05 w:r=1","","",""
13,interval,1,28,95,1,"6x60s/120s @0.8-1.1 w:r=0.5","","",""
14,threshold,1,15,90,1,"1x900s @0.85-0.95","","",""
15,anaerobic,1,24,0,1,"6x30s/150s @max_effort w:r=0.2","","",""
16,max_aerobic_power,1,24,95,1,"18x30s/30s @0.85-1.05 w:r=1","","",""
17,interval,1,28,95,1,"5x180s/60s @0.8-1.1 w:r=3","","",""
18,threshold,1,15,90,1,"1x1080s @0.85-0.95","","",""
19,anaerobic,1,24,0,1,"4x45s/225s @max_effort w:r=0.2","","",""
20,endurance,1,25,70,1,"1x1800s @0.7-0.7","","",""
21,time_trial,2,10,0,1,"1x600s @max_effort","","",""
22,anaerobic,2,24,0,1,"8x30s/150s @max_effort w:r=0.2","","",""
23,endurance,2,25,70,1,"1x1440s @0.7-0.7","","",""
24,max_aerobic_power,2,24,95,1,"4x240s/240s @0.85-1.05 w:r=1","","",""
25,interval,2,28,95,1,"8x120s/60s @0.8-1.1 w:r=2","","",""
26,anaerobic,2,24,0,1,"10x20s/100s @max_effort w:r=0.2","","",""
27,endurance,2,25,70,1,"1x1620s @0.7-0.7","","",""
28,max_aerobic_power,2,24,95,1,"10x90s/90s @0.85-1.05 w:r=1","","",""
29,interval,2,28,95,1,"5x180s/120s @0.8-1.1 w:r=1.5","","",""
30,threshold,2,15,90,1,"1x720s @0.85-0.95","","",""
